event,source_short_name,pages,source_class,caveats
1.1980-01,"Eder, 1980",,A,
1.1980-01,"Gasiorowski, 2002","648-658, 661-666",A,
1.1980-01,"Ibrahim, 1990",,A,
1.1980-01,"Riding, 1990, ""For""",,A,
1.1980-01,"Riding, 1990, ""Prisoners""",,A,
1.1980-01,"Treuthardt, 1980",,A,
1.1980-01,"Walsh, 1980",,A,
1.1980-01,"Abedin, 2002",,B,
1.1980-01,"Associated Press, 1980, ""Ex-Premier""",,B,
1.1980-01,"Associated Press, 1984, ""Former""",,B,
1.1980-01,"Berger, 1980",,B,
1.1980-01,"Chaddock, 1997",,B,
1.1980-01,"""Ex-Iran,"" 1980",,B,
1.1980-01,"Farhang, 1993",,B,
1.1980-01,"Fisk, 1996",,B,
1.1980-01,"""French,"" 1991",,B,
1.1980-01,"""Governor,"" 1984",,B,
1.1980-01,"Greenhouse, 1994",,B,
1.1980-01,"""Iran Security,"" 1980",,B,
1.1980-01,"Koven, 1979",,B,
1.1980-01,"Mullen, 1980",,B,
1.1980-01,"""Murder,"" 1984",,B,
1.1980-01,"Pear, 1980, ""Iran""",,B,
1.1980-01,"Pear, 1980, ""Khomeini""",,B,
1.1980-01,"Riding, 1994, ""3""",,B,
1.1980-01,"Riding, 1994, ""France""",,B,
1.1980-01,"Riding, 1991, ""Iran's""",,B,
1.1980-01,"Riding, 1991, ""Suspects""",,B,
1.1980-01,"Rosenzweig, 2001",,B,
1.1980-01,"Silverman, 2002",,B,
1.1980-01,"Smith and Canzian, 1980, ""2""",,B,
1.1980-01,"Sulzberger, 1980, ""2""",,B,
1.1980-01,"Washington Post Service, 1980, ""Assassination""",,B,
1.1980-01,"Waxman, 1991",,B,
1.1980-01,"Yeranian, 2010",,B,
1.1980-01,"Zuckerman, 1980",,B,
1.1980-01,"Foundation for Democracy in Iran, 1996",,C,
1.1980-01,"Geist, 2011",,C,
1.1980-01,"Hakakian, 2011",304,C,
1.1980-01,"Human Rights & Democracy for Iran, N.d.",,C,
1.1980-01,"Iran-e-Azad, N.d.",,C,
1.1980-01,"""Iran's,"" 1980",,C,
1.1980-01,"Kadivar, 2003",,C,
1.1980-01,"Mousavian, 2008",218-219,C,
1.1980-01,"Pahlavi, N.d.",,C,
1.1980-01,"PDK-Iran, N.d.",,C,
1.1980-01,"Sahimi, 2011",,C,
1.1980-01,"""Shapour,"" 1991",,C,
1.1980-01,"""Terrorism,"" 1980",,C,
1.1980-02,"""2,"" 1980",,A,
1.1980-02,"Associated Press, 1980, ""3""",,A,
1.1980-02,"Associated Press, 1981, ""Bail""",,A,
1.1980-02,"Associated Press, 1981, ""Fourth""",,A,
1.1980-02,"Associated Press, 1981, ""Jury""",,A,
1.1980-02,"Associated Press, 1980, ""Khomeini""",,A,
1.1980-02,"Associated Press, 1980, ""U.S.""",,A,
1.1980-02,"Barringer and Baker, 1980",,A,
1.1980-02,"""The Call,"" 1980",,A,
1.1980-02,"""Ex-Iran,"" 1980",,A,
1.1980-02,"""Ex-Mailman,"" 1981",,A,
1.1980-02,"Mackey, 2009",,A,
1.1980-02,"Pear, 1981",,A,
1.1980-02,"Pear, 1980, ""Iran""",,A,
1.1980-02,"Pear, 1980, ""Khomeini""",,A,
1.1980-02,"""Postal,"" 1980",,A,
1.1980-02,"""Reward,"" 1980",,A,
1.1980-02,"Shannon, 1980",,A,
1.1980-02,"Silverman, 2002",,A,
1.1980-02,"Smith and Canzian, 1980, ""2""",,A,
1.1980-02,"Smith and Canzian, 1980, ""Alleged""",,A,
1.1980-02,"Sulzberger, 1980, ""2""",,A,
1.1980-02,"Sulzberger, 1980, ""Algeria""",,A,
1.1980-02,"Sulzberger, 1980, ""Algerians""",,A,
1.1980-02,"""Suspect,"" 1980",,A,
1.1980-02,"Washington Post Service, 1980, ""Slay""",,A,
1.1980-02,"""90,"" 1980",,B,
1.1980-02,"Anderson, 2009",,B,
1.1980-02,"Bell, 2011",,B,
1.1980-02,"Farhang, 1993",,B,
1.1980-02,"""Iran May,"" 1980",,B,
1.1980-02,"Morgan et al., 1980",,B,
1.1980-02,"Petrou, 2011",,B,
1.1980-02,"""Widow,"" 1980",,B,
1.1980-02,"Zuckerman, 1980",,B,
1.1980-02,"Zuckerman and Keppel, 1980",,B,
1.1980-02,"Federal Research Division, Library of Congress, 2012",48,C,
1.1980-02,"Foundation for Democracy in Iran, 1996",,C,
1.1980-02,"Geist, 2011",,C,
1.1980-02,"Hakakian, 2011",304,C,
1.1980-02,"Iran-e-Azad, N.d.",,C,
1.1980-02,"Iran Human Rights Documentation Center, N.d., ""Murder""",,C,
1.1980-02,"""Iran's,"" 1982",,C,
1.1980-02,"""Iran's,"" 1980",,C,
1.1980-02,"Kadivar, 2003",,C,
1.1980-02,"Mousavian, 2008",219,C,
1.1980-02,"Pahlavi, N.d.",,C,
1.1980-02,"PDK-Iran, N.d.",,C,
1.1980-02,"Sahimi, 2011",,C,
1.1980-02,"""Terrorism,"" 1980",,C,
1.1980-02,"Thompson and Akrami, N.d.",,C,
1.1980-03,"Morgan et al., 1980",,A,
1.1980-03,"Zuckerman, 1980",,A,
1.1980-03,"Zuckerman and Keppel, 1980",,A,
1.1980-03,"""90,"" 1980",,B,
1.1980-03,"""Iran Security,"" 1980",,B,
1.1980-03,"United Press International, 1980",,C,
1.1980-03,"""Widow,"" 1980",,C,
1.1982-01,"Branigin, 1984",,B,
1.1982-01,"Foundation for Democracy in Iran, 1996",,C,
1.1982-01,"Iran-e-Azad, N.d.",,C,
1.1982-01,"Mousavian, 2008",219,C,
1.1982-01,"Pahlavi, N.d.",,C,
1.1982-01,"PDK-Iran, N.d.",,C,
1.1982-01,"Rabbani, 2010",,C,
1.1982-02,"Foundation for Democracy in Iran, 1996",,C,
1.1982-02,"Iran-e-Azad, N.d.",,C,
1.1982-02,"Mousavian, 2008",219,C,
1.1982-02,"Pahlavi, N.d.",,C,
1.1982-02,"Rabbani, 2010",,C,
1.1982-03,"Foundation for Democracy in Iran, 1996",,C,
1.1982-03,"Iran-e-Azad, N.d.",,C,
1.1982-03,"Mousavian, 2008",219,C,
1.1982-03,"Pahlavi, N.d.",,C,
1.1982-03,"PDK-Iran, N.d.",,C,
1.1982-04,"Foundation for Democracy in Iran, 1996",,C,
1.1982-04,"Iran-e-Azad, N.d.",,C,
1.1982-04,"Mousavian, 2008",219,C,
1.1982-04,"Pahlavi, N.d.",,C,
1.1982-04,"Rabbani, 2010",,C,
1.1983-01,"Branigin, 1984",,B,
1.1983-01,"Foundation for Democracy in Iran, 1996",,C,
1.1983-01,"Iran-e-Azad, N.d.",,C,
1.1983-01,"Pahlavi, N.d.",,C,
1.1983-02,"Branigin, 1984",,B,
1.1984-01,"""2,"" 1984",,A,
1.1984-01,"Associated Press, 1984, ""Ex-Iranian""",,A,
1.1984-01,"Associated Press, 1984, ""Former""",,A,
1.1984-01,"Associated Press, 1984, ""Shah's""",,A,
1.1984-01,"Gasiorowski, 2002","649-650, 659, 661, 665-666",A,
1.1984-01,"""Governor,"" 1984",,A,
1.1984-01,"""Gunmen,"" 1984",,A,
1.1984-01,"""Murder,"" 1984",,A,
1.1984-01,"Ruby, 1984",,A,
1.1984-01,"Vinocur, 1984",,A,
1.1984-01,"""Arab,"" 1984",,B,
1.1984-01,"""Envoy,"" 1984",,B,
1.1984-01,"Foreign Broadcast Information Service, 1980",,B,
1.1984-01,"Koven, 1984",,B,
1.1984-01,"Washington Post Service, 1980, ""Assassination""",,B,
1.1984-01,"Federal Research Division, Library of Congress, 2012",48,C,
1.1984-01,"Foundation for Democracy in Iran, 1996",,C,
1.1984-01,"Geist, 2011",,C,
1.1984-01,"Iran-e-Azad, N.d.",,C,
1.1984-01,"Kadivar, 2003",,C,
1.1984-01,"Mousavian, 2008",219,C,
1.1984-01,"Pahlavi, N.d.",,C,
1.1984-01,"PDK-Iran, N.d.",,C,
1.1984-01,"Sahimi, 2011",,C,
1.1984-01,"Thompson and Akrami, N.d.",,C,
1.1985-01,"Foundation for Democracy in Iran, 1996",,C,
1.1985-01,"Iran-e-Azad, N.d.",,C,
1.1985-01,"Mousavian, 2008",219,C,
1.1985-01,"Pahlavi, N.d.",,C,
1.1985-01,"PDK-Iran, N.d.",,C,
1.1985-02,"Gasiorowski, 2002",658-659,A,
1.1985-02,"Aygun, 1991",,B,
1.1985-02,"Foundation for Democracy in Iran, 1996",,C,
1.1985-02,"Iran-e-Azad, N.d.",,C,
1.1985-02,"Mousavian, 2008",219,C,
1.1985-02,"Pahlavi, N.d.",,C,
1.1985-02,"PDK-Iran, N.d.",,C,
1.1986-01,"""Iranian,"" 1986",,A,
1.1986-01,"""London,"" 1986",,A,
1.1986-01,"DeYoung, 1987",,B,
1.1986-01,"""Foe,"" 1987",,B,
1.1986-01,"Reuters, 1987, ""Iranians""",,B,
1.1986-01,"Reuters, 1987, ""Murder""",,B,
1.1986-01,"Roberts et al., 1986",,B,
1.1986-01,"Foundation for Democracy in Iran, 1996",,C,
1.1986-01,"Iran-e-Azad, N.d.",,C,
1.1986-01,"Kadivar, 2003",,C,
1.1986-01,"Mousavian, 2008",219,C,
1.1986-01,"Pahlavi, N.d.",,C,
1.1986-01,"PDK-Iran, N.d.",,C,
1.1986-02,"""Ex-Guard,"" 1986",,A,
1.1986-02,"Aygun, 1991",,B,
1.1986-02,"Foundation for Democracy in Iran, 1996",,C,
1.1986-02,"Iran-e-Azad, N.d.",,C,
1.1986-02,"Mousavian, 2008",219,C,
1.1986-02,"Pahlavi, N.d.",,C,
1.1986-02,"PDK-Iran, N.d.",,C,
1.1986-03,"Foundation for Democracy in Iran, 1996",,C,
1.1986-03,"Iran-e-Azad, N.d.",,C,
1.1986-03,"Mousavian, 2008",219,C,
1.1986-03,"Pahlavi, N.d.",,C,
1.1987-01,"Iran Human Rights Documentation Center, N.d., ""Murder""",,A,
1.1987-01,"Markham, 1987, ""Bonn May""",,B,
1.1987-01,"Markham, 1987, ""Bonn Seeks""",,B,
1.1987-01,"Federal Research Division, Library of Congress, 2012",48,C,
1.1987-01,"Foundation for Democracy in Iran, 1996",,,
1.1987-01,"Geist, 2011",,,
1.1987-01,"Hakakian, 2011",37 ff.,,
1.1987-01,"Iran-e-Azad, N.d.",,,
1.1987-01,"Mousavian, 2008",219,,
1.1987-01,"Pahlavi, N.d.",,,
1.1987-01,"PDK-Iran, N.d.",,,
1.1987-01,"Sahimi, 2011",,,
1.1987-01,"United States Department of State, 1988",35-36,,
1.1987-02,"Reuters, 1987, ""Murder""",,A,
1.1987-02,"""London Bomb,"" 1987",,B,
1.1987-02,"Federal Research Division, Library of Congress, 2012",48,C,
1.1987-02,"Foundation for Democracy in Iran, 1996",,C,
1.1987-02,"Geist, 2011",,C,
1.1987-02,"Iran-e-Azad, N.d.",,C,
1.1987-02,"Mousavian, 2008",219,C,
1.1987-02,"Pahlavi, N.d.",,C,
1.1987-02,"PDK-Iran, N.d.",,C,
1.1987-02,"Sahimi, 2011",,C,
1.1987-03,"Bone, 1987",,A,
1.1987-03,"""Iranian Exiles,"" 1987",,A,
1.1987-03,"Reuters, 1987, ""Two""",,A,
1.1987-03,"Weintraub, 1987",,A,
1.1987-03,"""The World,"" 1987",,A,
1.1987-03,"Associated Press, 1987, ""4""",,B,
1.1987-03,"Bell, 2011",,B,
1.1987-03,"Broder, 1987",,B,
1.1987-03,"Weisman, 1987",,B,
1.1987-03,"Foundation for Democracy in Iran, 1996",,C,
1.1987-03,"Mousavian, 2008",219,C,
1.1987-03,"Pahlavi, N.d.",,C,
1.1987-03,"United States Department of State, 1988","28, 35",C,
1.1987-04,"Associated Press, 1987, ""Bomb""",,A,
1.1987-04,"Associated Press, 1987, ""Bombing""",,A,
1.1987-04,"Associated Press, 1987, ""Iranian""",,A,
